"asset","model","feature_set","n","accuracy","balanced_accuracy","f1","auc","positive_rate_actual","positive_rate_predicted"
"DOT","xgboost","lagged_returns",5040,0.517460317460318,0.515490866001777,0.484527342094108,0.523321496988249,0.471230158730159,0.464880952380952
"ETH","xgboost","lagged_returns",5040,0.513492063492063,0.513228028993208,0.493806771263419,0.520726408137021,0.496230158730159,0.464880952380952
"LINK","xgboost","lagged_returns",5040,0.515674603174603,0.512016166722055,0.469693678036063,0.517787403769795,0.460119047619048,0.453174603174603
"LTC","xgboost","lagged_returns",5040,0.508531746031746,0.507727544006368,0.484495317377732,0.515052380355177,0.488492063492063,0.464880952380952
"SOL","xgboost","lagged_returns",5040,0.516269841269841,0.516089099750859,0.497319587628866,0.519231583858918,0.497420634920635,0.464880952380952
"TRX","xgboost","lagged_returns",5040,0.494047619047619,0.492622077364087,0.464510709785804,0.490838322295471,0.479761904761905,0.465079365079365
"XRP","xgboost","lagged_returns",5040,0.513095238095238,0.512060711372744,0.487468671679198,0.518216564023153,0.485119047619048,0.464880952380952
"ADA","glmnet_logistic","lagged_returns_plus_node_network",5040,0.510515873015873,0.510502155314271,0.497862812945247,0.514163324662828,0.475595238095238,0.499206349206349
"AVAX","glmnet_logistic","lagged_returns_plus_node_network",5040,0.50297619047619,0.5026976818602,0.478016253386122,0.509245703009925,0.455555555555556,0.496626984126984
"BNB","glmnet_logistic","lagged_returns_plus_node_network",5040,0.516269841269841,0.516305443548387,0.519132149901381,0.517854870211694,0.507936507936508,0.498015873015873
"BTC","glmnet_logistic","lagged_returns_plus_node_network",5040,0.512698412698413,0.512683896620278,0.508603441376551,0.514280337775328,0.499007936507937,0.49265873015873
"DOGE","glmnet_logistic","lagged_returns_plus_node_network",5040,0.511706349206349,0.511677927880043,0.507701540308062,0.509554274544303,0.494642857142857,0.497222222222222
"DOT","glmnet_logistic","lagged_returns_plus_node_network",5040,0.515873015873016,0.515433198380567,0.497114591920857,0.518583430433495,0.471230158730159,0.491468253968254
"ETH","glmnet_logistic","lagged_returns_plus_node_network",5040,0.512103174603175,0.512187641682201,0.515658853653733,0.515771005500911,0.496230158730159,0.511111111111111
